0	的	30340	46527760
1	一	19968	14416017
2	在	22312	14168100
3	中	20013	13675718
4	国	22269	13205478
5	年	24180	12478902
6	是	26159	11957374
7	有	26377	11636606
8	业	19994	11334180
9	人	20154	10612828
10	为	20026	10222856
11	大	22823	9791206
12	不	19981	9723924
13	行	34892	9655901
14	了	20102	9492527
15	上	19978	9447291
16	公	20844	8890644
17	发	21457	8581982
18	和	21644	8241375
19	市	24066	8238018
20	资	36164	8026258
21	金	37329	6999356
22	对	23545	6969929
23	会	20250	6877142
24	日	26085	6867330
25	出	20986	6526957
26	新	26032	6409741
27	以	20197	6409076
28	月	26376	6405701
29	来	26469	6369058
30	个	20010	6311393
31	经	32463	6233651
32	产	20135	6224491
33	要	35201	5902214
34	司	21496	5835304
35	时	26102	5819585
36	成	25104	5778180
37	到	21040	5659954
38	元	20803	5650152
39	这	36825	5607745
40	家	23478	5595914
41	于	20110	5574981
42	股	32929	5557664
43	方	26041	5526327
44	能	33021	5414609
45	现	29616	5160624
46	地	22320	5131555
47	下	19979	5102238
48	作	20316	5067446
49	场	22330	4977126
50	进	36827	4953664
51	者	32773	4896817
52	前	21069	4792611
53	生	29983	4784500
54	分	20998	4736229
55	多	22810	4703188
56	长	38271	4630586
57	理	29702	4591691
58	高	39640	4538118
59	全	20840	4513431
60	同	21516	4508828
61	实	23454	4498651
62	用	29992	4468365
63	过	36807	4442932
64	务	21153	4370047
65	合	21512	4346152
66	动	21160	4339028
67	机	26426	4329229
68	期	26399	4282716
69	部	37096	4253282
70	后	21518	4247803
71	开	24320	4235603
72	也	20063	4217936
73	关	20851	4204571
74	等	31561	4196967
75	工	24037	4172941
76	将	23558	4068809
77	品	21697	4046168
78	本	26412	4029925
79	度	24230	4016040
80	基	22522	3916741
81	保	20445	3893012
82	可	21487	3885179
83	其	20854	3877588
84	定	23450	3872518
85	增	22686	3866344
86	力	21147	3820748
87	化	21270	3812604
88	利	21033	3761357
89	投	25237	3753515
90	加	21152	3750061
91	展	23637	3748740
92	面	38754	3745652
93	法	27861	3726880
94	体	20307	3687457
95	主	20027	3656817
96	表	34920	3646992
97	报	25253	3639310
98	美	32654	3620556
99	重	37325	3618988
100	通	36890	3587519
101	与	19982	3562339
102	示	31034	3552778
103	政	25919	3533395
104	比	27604	3513993
105	管	31649	3454696
106	企	20225	3441035
107	提	25552	3419485
108	我	25105	3406825
109	据	25454	3389833
110	民	27665	3382707
111	内	20869	3367454
112	自	33258	3349287
113	制	21046	3345604
114	入	20837	3321203
115	收	25910	3316254
116	外	22806	3314629
117	目	30446	3298986
118	亿	20159	3292713
119	价	20215	3261158
120	信	20449	3255576
121	网	32593	3230439
122	平	24179	3229894
123	万	19975	3218951
124	持	25345	3188539
